type,Year,n,mean,median,sd
Africa,2006,22,4.074181818,3.951,0.511960623
Africa,2007,19,4.392789474,4.35,0.537471403
Africa,2008,24,4.254625,4.3275,0.681568129
Africa,2009,18,4.339555556,4.2325,0.545623574
Africa,2010,17,4.141,4.193,0.448372613
Africa,2011,31,4.455580645,4.502,0.608418539
Africa,2012,25,4.27292,4.279,0.594071188
Africa,2013,27,4.021925926,3.852,0.495944625
Africa,2014,32,4.0269375,4.003,0.595759691
Africa,2015,30,4.178933333,4.2805,0.563112834
Africa,2016,32,4.08990625,4.1625,0.670994561
Africa,2017,35,4.344,4.424,0.699964117
Africa,2018,33,4.557454545,4.654,0.684456175
Africa,2019,33,4.506484848,4.741,0.773103895
Africa,2020,14,4.761571429,4.7395,0.722764747
Arab States,2007,1,4.149,4.149,NA
Arab States,2008,2,4.6285,4.6285,0.53810826
Arab States,2009,7,4.722,4.906,0.686726049
Arab States,2010,9,4.844111111,4.772,0.629746069
Arab States,2011,9,4.704333333,4.824,0.452394187
Arab States,2012,8,4.78775,4.8215,0.492394079
Arab States,2013,4,5.31925,5.194,1.028056216
Arab States,2014,6,5.239,5.146,0.915818104
Arab States,2015,5,5.1158,5.163,0.754360458
Arab States,2016,6,5.093,5.0045,0.663435302
Arab States,2017,5,5.118,5.249,0.785225127
Arab States,2018,5,4.5936,4.741,0.441321651
Arab States,2019,6,4.996166667,4.677,1.077896547
Arab States,2020,3,5.235666667,4.803,0.812552357
Asia & Pacific,2005,4,6.0975,5.912,1.017513472
Asia & Pacific,2006,23,5.165130435,5.076,0.819617832
Asia & Pacific,2007,25,5.34848,5.101,0.930341565
Asia & Pacific,2008,30,5.209866667,5.0965,0.822219902
Asia & Pacific,2009,25,5.0936,5.083,0.604224296
Asia & Pacific,2010,28,5.293321429,5.0455,0.905204174
Asia & Pacific,2011,31,5.318258065,5.037,0.984469196
Asia & Pacific,2012,31,5.175322581,5.095,0.922191607
Asia & Pacific,2013,31,5.250258065,5.241,1.007137461
Asia & Pacific,2014,31,5.395290323,5.252,0.964062591
Asia & Pacific,2015,31,5.303322581,5.082,0.934488038
Asia & Pacific,2016,28,5.405642857,5.3145,0.786120442
Asia & Pacific,2017,30,5.315833333,5.2815,0.976403008
Asia & Pacific,2018,31,5.307129032,5.297,0.944700367
Asia & Pacific,2019,31,5.395032258,5.464,1.007943103
Asia & Pacific,2020,19,5.650052632,5.771,0.870046389
Europe,2005,15,6.521266667,6.854,0.992624477
Europe,2006,20,5.89145,5.7345,1.165893444
Europe,2007,32,5.69953125,5.5055,1.06789292
Europe,2008,27,6.374037037,6.78,1.099740301
Europe,2009,35,5.787114286,5.564,1.008205738
Europe,2010,40,5.8858,5.807,1.073882035
Europe,2011,42,5.895214286,5.719,1.030554327
Europe,2012,46,6.004586957,5.8935,1.019862748
Europe,2013,44,5.908727273,5.816,1.0227429
Europe,2014,45,5.9818,5.812,0.947372841
Europe,2015,46,6.008869565,5.8645,0.970762669
Europe,2016,46,6.082978261,5.9385,0.960037024
Europe,2017,45,6.1876,6.167,0.96548804
Europe,2018,45,6.258844444,6.235,0.866886434
Europe,2019,45,6.317133333,6.241,0.868996145
Europe,2020,41,6.401292683,6.453,0.784471613
Middle east,2005,4,6.0085,5.893,0.857212731
Middle east,2006,3,5.821,6.076,1.063677113
Middle east,2007,4,5.72075,5.5695,1.152559579
Middle east,2008,5,5.1116,4.632,0.960455257
Middle east,2009,9,5.763666667,6,0.806847724
Middle east,2010,9,5.748666667,5.57,1.035534645
Middle east,2011,10,5.7014,5.9585,1.20110044
Middle east,2012,10,5.483,5.443,1.106587246
Middle east,2013,8,5.281625,5.0775,1.147174658
Middle east,2014,8,5.369875,5.283,0.906800882
Middle east,2015,10,5.3865,5.51,1.102074231
Middle east,2016,9,5.336,5.271,0.978539345
Middle east,2017,9,5.186777778,5.154,1.208253365
Middle east,2018,8,5.026125,5.0265,1.170025816
Middle east,2019,8,5.21375,4.8915,1.113491516
Middle east,2020,5,5.2738,4.785,1.15438044
North America,2005,1,7.418,7.418,NA
North America,2006,1,7.182,7.182,NA
North America,2007,2,7.4975,7.4975,0.02192031
North America,2008,2,7.383,7.383,0.145663997
North America,2009,2,7.323,7.323,0.233345238
North America,2010,2,7.407,7.407,0.343653896
North America,2011,2,7.2705,7.2705,0.219910209
North America,2012,2,7.2205,7.2205,0.275064538
North America,2013,2,7.4215,7.4215,0.24395184
North America,2014,2,7.2275,7.2275,0.108187338
North America,2015,2,7.1385,7.1385,0.388201623
North America,2016,2,7.0245,7.0245,0.311834091
North America,2017,2,7.2035,7.2035,0.299106168
North America,2018,2,7.029,7.029,0.20647518
North America,2019,2,7.0265,7.0265,0.116672619
North America,2020,2,7.0265,7.0265,0.00212132
South/Latin America,2005,3,6.796,6.637,0.325101523
South/Latin America,2006,20,5.581,5.7435,0.781086558
South/Latin America,2007,19,5.846157895,5.698,0.701795733
South/Latin America,2008,20,5.79745,5.7265,0.812715492
South/Latin America,2009,18,6.366666667,6.36,0.653292476
South/Latin America,2010,19,6.179631579,6.29,0.901628231
South/Latin America,2011,21,6.068285714,5.892,0.783785949
South/Latin America,2012,20,6.09855,6.144,0.82384934
South/Latin America,2013,21,6.159428571,6.168,0.761472361
South/Latin America,2014,21,6.060142857,6.136,0.787333366
South/Latin America,2015,19,5.940894737,6.018,0.803746221
South/Latin America,2016,19,5.897,6.118,0.895060644
South/Latin America,2017,21,6.002142857,6.157,0.667361468
South/Latin America,2018,18,5.951166667,6.056,0.753989721
South/Latin America,2019,19,6.117578947,6.086,0.416371671
South/Latin America,2020,11,5.660181818,5.709,0.508279415
Developed,2005,17,6.727941176,6.984,0.840240254
Developed,2006,23,6.218086957,6.189,0.95795715
Developed,2007,32,6.11528125,6.062,1.068841345
Developed,2008,30,6.617833333,6.997,0.946053803
Developed,2009,35,6.053885714,5.845,0.929972004
Developed,2010,43,6.212906977,6.188,0.999315285
Developed,2011,45,6.212533333,6.263,0.975733724
Developed,2012,48,6.255729167,6.0945,0.955007157
Developed,2013,45,6.182244444,6.009,1.001111431
Developed,2014,47,6.214638298,6.139,0.900585448
Developed,2015,47,6.259425532,6.358,0.907518325
Developed,2016,48,6.302104167,6.2405,0.893467028
Developed,2017,48,6.394229167,6.316,0.881941264
Developed,2018,46,6.459326087,6.49,0.790531215
Developed,2019,47,6.500404255,6.457,0.776999431
Developed,2020,45,6.537111111,6.502,0.698427494
Developing,2005,8,5.8995,5.893,0.854303727
Developing,2006,58,4.823482759,4.69,0.911417871
Developing,2007,59,5.151627119,5.027,0.915692764
Developing,2008,68,4.957602941,4.8295,0.934011108
Developing,2009,64,5.275140625,5.207,0.937939279
Developing,2010,67,5.193686567,4.996,0.974084624
Developing,2011,82,5.135731707,4.9785,0.971771706
Developing,2012,76,5.067842105,4.9625,0.957944383
Developing,2013,77,5.04474026,4.967,1.07183186
Developing,2014,83,5.025060241,4.905,1.086494299
Developing,2015,81,5.02362963,4.933,0.982776074
Developing,2016,79,4.990721519,5.057,0.962938531
Developing,2017,83,5.052927711,5.098,1.001843067
Developing,2018,79,5.044139241,5.062,0.91828273
Developing,2019,80,5.120625,5.0855,1.021860618
Developing,2020,41,5.224439024,5.241,0.755467274
Third World,2005,2,6.239,6.239,1.316632827
Third World,2006,8,4.96825,5.089,0.878144269
Third World,2007,11,4.820818182,4.775,0.565369228
Third World,2008,12,5.032,5.2135,0.692111131
Third World,2009,15,4.845266667,4.47,1.027556704
Third World,2010,14,4.748,4.561,1.081976539
Third World,2011,19,4.801157895,4.751,0.73957317
Third World,2012,18,4.865666667,4.6435,0.961219324
Third World,2013,15,4.827266667,5.023,1.07036599
Third World,2014,15,4.816,4.722,0.853966292
Third World,2015,15,4.778,4.75,0.833423319
Third World,2016,15,4.663866667,4.653,0.970378635
Third World,2017,16,4.77275,4.8005,0.727782339
Third World,2018,17,5.017941176,5.164,0.747076424
Third World,2019,17,5.119764706,5.164,0.623909502
Third World,2020,9,5.165,5.257,0.726666533
World,2005,27,6.446259259,6.62,0.919129253
World,2006,89,5.196898876,5.084,1.094545278
World,2007,102,5.41827451,5.2215,1.047919865
World,2008,110,5.418509091,5.1815,1.169425208
World,2009,114,5.457666667,5.3605,1.029689614
World,2010,124,5.496806452,5.4605,1.125611586
World,2011,146,5.424082192,5.224,1.084030108
World,2012,142,5.443753521,5.3365,1.116601341
World,2013,137,5.394562044,5.246,1.180784366
World,2014,145,5.38902069,5.333,1.155524156
World,2015,143,5.404034965,5.344,1.116038892
World,2016,142,5.399478873,5.424,1.140645921
World,2017,147,5.460408163,5.553,1.140804431
World,2018,142,5.499443662,5.4685,1.083488793
World,2019,144,5.570868056,5.5945,1.111850044
World,2020,95,5.8406,5.885,0.978608015
